id,age,job,marital_status,education,default_loan,balance,housing_loan,personal_loan,contact_type,day,month,duration,campaign,pdays,previous,poutcome,subscription
28,39,BLUE,MAR,SEC,N,180,Y,N,CEL,16,4,237,1,-1,0,UNK,0
29,28,BLUE,MAR,PRIM,N,115,Y,N,UNK,28,5,78,4,-1,0,UNK,0
30,33,SERV,DIV,SEC,N,991,Y,N,UNK,27,5,148,1,-1,0,UNK,0
31,47,BLUE,MAR,PRIM,N,550,Y,N,UNK,7,5,113,1,-1,0,UNK,0
32,30,MGNT,MAR,TER,N,1390,N,N,CEL,20,8,552,4,-1,0,UNK,0
33,42,ENTREP,MAR,TER,N,2476,Y,N,CEL,8,7,251,1,-1,0,UNK,0
34,59,HOUSE,MAR,PRIM,N,96,N,N,CEL,6,8,88,2,-1,0,UNK,0
35,32,MGNT,SIN,TER,N,9317,N,N,CEL,2,11,92,3,-1,0,UNK,0
36,42,ADMIN,MAR,SEC,N,0,Y,Y,CEL,20,4,58,4,-1,0,UNK,0
37,38,MGNT,SIN,TER,N,667,Y,N,CEL,17,4,479,2,-1,0,UNK,0
38,63,retired,MAR,SEC,N,1612,N,N,TEL,17,2,233,2,-1,0,UNK,1
39,30,MGNT,SIN,TER,N,349,N,N,CEL,12,8,180,3,-1,0,UNK,0
40,35,BLUE,MAR,SEC,N,-100,Y,N,TEL,9,2,13,7,272,9,FAIL,0
41,33,ENTREP,MAR,TER,N,87,Y,Y,CEL,21,11,141,4,-1,0,UNK,0
42,51,MGNT,MAR,TER,N,469,N,N,CEL,14,10,491,1,182,3,SUC,1
43,35,BLUE,MAR,SEC,N,1160,N,Y,TEL,19,11,62,1,-1,0,UNK,0
44,31,TECH,SIN,PRIM,N,449,Y,N,CEL,4,2,140,4,252,1,FAIL,0
45,39,SERV,SIN,SEC,N,326,Y,N,UNK,27,5,115,1,-1,0,UNK,0
46,50,BLUE,MAR,SEC,N,606,Y,N,UNK,14,5,673,2,-1,0,UNK,0
47,39,BLUE,MAR,PRIM,N,315,Y,N,CEL,15,5,259,3,353,3,FAIL,0
48,59,ADMIN,DIV,SEC,N,174,Y,N,UNK,16,5,204,1,-1,0,UNK,0
49,53,TECH,DIV,UNK,N,629,Y,N,CEL,8,5,298,1,-1,0,UNK,0
50,44,ADMIN,SIN,SEC,N,2524,N,N,UNK,19,6,82,1,-1,0,UNK,0
51,39,ADMIN,DIV,SEC,N,952,Y,N,UNK,16,6,62,1,-1,0,UNK,0
52,40,SERV,MAR,SEC,N,2172,Y,Y,UNK,13,5,1386,1,-1,0,UNK,0
53,45,TECH,MAR,SEC,N,999,Y,N,CEL,20,11,215,6,188,2,FAIL,0
54,27,MGNT,SIN,TER,N,1623,N,N,CEL,9,12,161,1,190,1,SUC,0
55,48,BLUE,MAR,PRIM,N,4,Y,N,UNK,8,5,198,1,-1,0,UNK,0
56,41,TECH,DIV,SEC,N,988,N,N,CEL,21,8,429,2,-1,0,UNK,0
57,48,BLUE,MAR,SEC,N,2345,Y,Y,CEL,5,5,306,2,-1,0,UNK,0
58,26,ADMIN,SIN,SEC,N,2509,N,N,CEL,27,5,776,3,97,3,SUC,1
59,33,TECH,SIN,SEC,N,2979,N,N,CEL,5,8,326,2,437,1,FAIL,1
60,31,TECH,SIN,SEC,N,44,N,N,CEL,2,2,200,5,175,2,FAIL,0
61,37,MGNT,MAR,TER,N,355,N,N,CEL,4,8,340,1,-1,0,UNK,0
62,52,retired,MAR,PRIM,N,383,Y,Y,CEL,17,4,299,2,-1,0,UNK,0
63,43,UNEMP,DIV,SEC,N,4094,Y,N,CEL,21,11,63,1,-1,0,UNK,0
64,41,SELF,SIN,TER,N,1081,N,N,CEL,27,5,229,3,-1,0,UNK,1
65,42,TECH,SIN,SEC,N,823,Y,N,CEL,28,1,137,1,-1,0,UNK,0
66,25,SERV,MAR,SEC,N,-282,Y,Y,CEL,25,7,198,1,-1,0,UNK,0
67,53,MGNT,MAR,TER,N,241,Y,N,CEL,19,11,137,1,-1,0,UNK,0
68,36,BLUE,MAR,PRIM,N,223,Y,N,UNK,14,7,12,3,-1,0,UNK,0
69,47,ADMIN,DIV,SEC,N,2232,N,N,CEL,27,5,439,1,103,1,SUC,1
70,36,ADMIN,SIN,TER,N,364,N,Y,CEL,31,8,185,1,123,1,FAIL,1
71,33,SELF,DIV,SEC,N,969,Y,N,UNK,17,6,166,2,-1,0,UNK,0
72,35,HOUSE,MAR,SEC,N,14000,N,N,UNK,9,6,121,2,-1,0,UNK,0
73,46,ENTREP,MAR,SEC,N,583,Y,N,UNK,20,5,137,2,-1,0,UNK,0
74,35,SERV,MAR,TER,N,6,Y,Y,CEL,16,4,316,2,-1,0,UNK,0
75,36,SERV,SIN,SEC,N,774,Y,N,CEL,3,2,231,2,259,1,FAIL,0
76,35,BLUE,MAR,SEC,N,306,N,N,UNK,20,6,12,8,-1,0,UNK,0
77,56,MGNT,MAR,UNK,N,4623,N,N,CEL,17,8,348,1,-1,0,UNK,1
78,41,BLUE,MAR,PRIM,N,1461,Y,N,CEL,18,11,290,1,165,2,SUC,0
79,44,MGNT,MAR,TER,N,792,N,N,CEL,25,8,630,7,-1,0,UNK,1
80,31,MGNT,MAR,UNK,N,4123,N,N,CEL,21,11,584,2,-1,0,UNK,0
81,31,MGNT,MAR,TER,N,131,N,N,CEL,18,2,332,2,-1,0,UNK,1
82,51,MGNT,DIV,SEC,N,-175,Y,Y,UNK,23,5,270,1,-1,0,UNK,0
83,29,TECH,SIN,SEC,Y,-368,Y,N,CEL,5,5,151,1,-1,0,UNK,0
84,57,TECH,MAR,TER,N,31,N,Y,CEL,26,8,395,2,-1,0,UNK,0
85,41,SELF,DIV,TER,N,4418,Y,N,CEL,21,11,855,3,-1,0,UNK,0
86,34,MGNT,SIN,TER,N,421,N,N,CEL,11,8,383,3,-1,0,UNK,0
87,30,STUD,SIN,SEC,N,1779,N,N,CEL,11,8,233,1,433,1,SUC,1
88,27,TECH,SIN,TER,N,535,Y,N,UNK,6,6,446,3,-1,0,UNK,0
89,37,BLUE,MAR,UNK,N,603,Y,N,UNK,23,5,773,2,-1,0,UNK,0
90,52,MGNT,MAR,TER,N,749,N,Y,CEL,9,2,342,2,-1,0,UNK,0
91,40,SELF,MAR,TER,N,1498,N,N,CEL,4,2,62,1,-1,0,UNK,0
92,31,STUD,SIN,SEC,N,3511,N,N,CEL,6,10,311,1,96,1,SUC,1
93,37,HOUSE,MAR,PRIM,N,94,Y,N,CEL,20,4,114,2,-1,0,UNK,0
94,59,HOUSE,MAR,SEC,N,0,N,N,TEL,27,10,376,1,81,3,FAIL,0
95,53,retired,MAR,SEC,N,1139,Y,N,CEL,18,11,180,1,186,6,FAIL,0
96,26,SERV,SIN,SEC,N,47,Y,N,CEL,22,7,161,1,-1,0,UNK,0
97,33,MGNT,SIN,TER,N,336,N,N,CEL,14,8,220,2,-1,0,UNK,0
98,36,BLUE,MAR,SEC,N,21,Y,N,UNK,28,5,89,1,-1,0,UNK,0
99,60,HOUSE,MAR,PRIM,N,2270,Y,N,CEL,9,7,206,1,-1,0,UNK,0
100,32,ADMIN,SIN,SEC,N,289,N,N,UNK,15,5,255,12,-1,0,UNK,0
101,35,ADMIN,DIV,SEC,N,356,Y,N,UNK,29,5,76,1,-1,0,UNK,0
102,33,BLUE,MAR,PRIM,N,329,Y,N,UNK,9,5,44,1,-1,0,UNK,0
103,58,MGNT,MAR,SEC,N,407,Y,N,CEL,29,7,145,2,-1,0,UNK,0
104,54,BLUE,MAR,PRIM,N,244,Y,N,CEL,29,7,337,2,-1,0,UNK,0
105,31,TECH,MAR,SEC,N,17,Y,N,CEL,28,7,266,3,-1,0,UNK,0
106,42,ADMIN,MAR,SEC,N,0,N,N,UNK,19,6,370,1,-1,0,UNK,0
107,34,MGNT,SIN,TER,N,575,N,N,CEL,9,3,116,1,-1,0,UNK,1
108,28,BLUE,SIN,SEC,N,1,N,N,UNK,28,5,181,1,-1,0,UNK,0
109,39,MGNT,MAR,UNK,N,4800,N,N,UNK,12,6,135,3,-1,0,UNK,0
110,29,SERV,DIV,SEC,N,590,Y,N,UNK,30,5,76,2,-1,0,UNK,0
111,48,BLUE,MAR,PRIM,N,3304,N,N,UNK,11,6,409,3,-1,0,UNK,0
112,29,MGNT,MAR,SEC,N,-420,Y,N,CEL,2,2,77,3,-1,0,UNK,0
113,45,MGNT,MAR,SEC,N,625,N,N,UNK,20,6,13,3,-1,0,UNK,0
114,33,ADMIN,MAR,SEC,N,89,N,N,TEL,10,7,524,3,-1,0,UNK,0
115,30,ADMIN,SIN,SEC,N,223,Y,N,UNK,6,6,862,11,-1,0,UNK,1
116,55,BLUE,DIV,SEC,N,-152,Y,N,CEL,7,5,36,3,-1,0,UNK,0
117,31,MGNT,SIN,TER,N,78,Y,N,CEL,22,7,369,2,-1,0,UNK,0
118,32,MGNT,MAR,TER,N,91,N,N,CEL,18,5,126,2,356,2,FAIL,0
119,31,BLUE,SIN,SEC,N,-322,N,Y,UNK,4,7,208,1,-1,0,UNK,0
120,26,BLUE,SIN,TER,N,567,N,N,CEL,25,5,421,1,-1,0,UNK,1
121,34,MGNT,MAR,TER,N,1288,Y,N,CEL,11,5,15,8,270,7,OTH,0
122,46,BLUE,MAR,SEC,N,-221,Y,Y,CEL,2,2,219,2,244,1,FAIL,0
123,30,SERV,SIN,SEC,N,-100,Y,Y,CEL,15,5,292,1,-1,0,UNK,0
124,51,retired,MAR,SEC,N,2127,Y,N,UNK,5,5,172,1,-1,0,UNK,0
125,55,MGNT,MAR,TER,N,655,N,N,CEL,28,7,167,6,-1,0,UNK,0
126,39,MGNT,MAR,TER,N,12855,Y,N,CEL,19,11,108,4,173,1,FAIL,0
127,31,BLUE,MAR,SEC,N,435,Y,N,UNK,21,5,204,1,-1,0,UNK,0
128,28,BLUE,MAR,SEC,N,1137,N,N,CEL,6,2,129,4,211,3,OTH,0
129,30,SERV,MAR,SEC,N,1743,Y,N,CEL,5,2,192,4,-1,0,UNK,0
130,27,ADMIN,SIN,SEC,N,-541,Y,Y,UNK,13,5,153,1,-1,0,UNK,0
131,37,SERV,SIN,SEC,N,-196,Y,N,UNK,7,5,207,1,-1,0,UNK,0
132,38,SERV,MAR,SEC,N,-762,Y,Y,UNK,30,5,408,2,-1,0,UNK,0
133,43,BLUE,MAR,PRIM,N,991,Y,N,CEL,14,5,111,2,-1,0,UNK,0
134,70,retired,MAR,SEC,N,2815,N,N,CEL,26,10,67,1,-1,0,UNK,0
135,37,TECH,DIV,SEC,N,-230,Y,Y,UNK,28,5,224,2,-1,0,UNK,0
136,34,MGNT,SIN,TER,N,1,N,N,CEL,19,11,582,1,-1,0,UNK,0
137,53,UNEMP,DIV,SEC,N,4512,N,N,UNK,19,6,203,2,-1,0,UNK,0
138,41,ADMIN,MAR,SEC,N,338,Y,N,UNK,16,5,121,1,-1,0,UNK,0
139,67,HOUSE,DIV,SEC,N,5275,N,N,CEL,13,8,222,4,-1,0,UNK,1
140,29,BLUE,MAR,PRIM,N,459,Y,Y,CEL,17,4,202,3,318,1,FAIL,0
141,48,ADMIN,MAR,SEC,N,44,N,Y,CEL,25,8,98,3,-1,0,UNK,0
142,24,UNEMP,SIN,TER,N,39,Y,N,UNK,20,6,15,3,-1,0,UNK,0
143,30,ADMIN,SIN,SEC,N,213,N,N,CEL,30,4,168,1,-1,0,UNK,0
144,54,retired,MAR,PRIM,N,-58,N,N,CEL,12,5,143,4,-1,0,UNK,0
145,27,TECH,MAR,SEC,N,0,Y,N,CEL,28,7,55,6,-1,0,UNK,0
146,37,MGNT,MAR,TER,N,5,N,N,CEL,29,8,36,2,-1,0,UNK,0
147,37,BLUE,DIV,SEC,N,638,Y,N,CEL,8,5,326,1,326,2,SUC,0
148,45,ADMIN,MAR,SEC,N,194,N,N,CEL,31,7,517,4,-1,0,UNK,0
149,43,MGNT,MAR,TER,N,2886,N,N,CEL,20,11,230,1,-1,0,UNK,0
150,57,TECH,MAR,SEC,N,363,N,N,CEL,25,6,195,6,-1,0,UNK,0
151,27,MGNT,SIN,TER,N,703,Y,N,UNK,5,6,590,3,-1,0,UNK,1
152,39,ADMIN,SIN,SEC,N,548,Y,N,UNK,3,6,296,2,-1,0,UNK,0
153,31,ADMIN,MAR,SEC,N,236,Y,Y,TEL,4,5,211,3,-1,0,UNK,0
154,43,BLUE,MAR,PRIM,N,1211,Y,N,UNK,6,5,208,3,-1,0,UNK,0
155,45,MGNT,MAR,SEC,N,1098,N,N,CEL,4,8,75,1,-1,0,UNK,0
156,26,BLUE,SIN,SEC,N,494,N,N,CEL,2,2,237,1,-1,0,UNK,0
157,27,MGNT,SIN,SEC,N,843,N,N,CEL,12,7,123,2,185,1,SUC,0
158,46,BLUE,MAR,UNK,N,0,N,N,TEL,29,8,162,2,-1,0,UNK,0
159,64,retired,MAR,SEC,N,3189,N,N,TEL,15,6,208,1,-1,0,UNK,1
160,44,MGNT,SIN,SEC,N,3684,Y,N,CEL,17,11,35,3,-1,0,UNK,0
161,35,ENTREP,MAR,TER,N,753,N,N,CEL,7,8,187,4,-1,0,UNK,0
162,29,BLUE,SIN,PRIM,N,10,N,N,CEL,14,7,135,3,-1,0,UNK,0
163,55,TECH,MAR,SEC,N,6958,Y,Y,UNK,13,5,178,2,-1,0,UNK,0
164,57,BLUE,MAR,SEC,N,2058,Y,N,TEL,18,5,23,2,-1,0,UNK,0
165,46,MGNT,MAR,TER,N,523,Y,N,CEL,6,5,105,4,366,2,FAIL,0
166,59,retired,MAR,PRIM,N,1085,N,N,UNK,16,6,191,1,-1,0,UNK,0
167,54,ADMIN,MAR,SEC,N,191,Y,Y,TEL,17,11,44,1,-1,0,UNK,0
168,40,TECH,MAR,SEC,N,84,Y,N,CEL,8,8,119,3,-1,0,UNK,0
169,48,MGNT,MAR,TER,N,-10,N,N,CEL,4,6,144,1,-1,0,UNK,0
170,59,MGNT,MAR,PRIM,N,3831,N,N,TEL,30,7,87,4,-1,0,UNK,0
171,50,SERV,MAR,PRIM,N,-158,N,N,CEL,22,8,203,4,-1,0,UNK,0
172,35,MGNT,MAR,TER,N,2088,Y,N,CEL,22,6,457,3,-1,0,UNK,0
173,33,TECH,SIN,TER,N,1636,Y,N,CEL,4,5,592,1,66,1,SUC,1
174,45,BLUE,MAR,SEC,N,54,Y,N,CEL,7,5,279,1,367,1,FAIL,0
175,48,SERV,MAR,SEC,N,116,Y,N,TEL,20,4,70,4,-1,0,UNK,0
176,28,ADMIN,SIN,SEC,N,1076,Y,N,UNK,2,6,537,5,-1,0,UNK,0
177,44,BLUE,SIN,PRIM,N,1308,N,Y,UNK,19,6,161,1,-1,0,UNK,0
178,57,retired,MAR,SEC,N,283,N,N,CEL,7,8,123,2,-1,0,UNK,0
179,49,MGNT,MAR,TER,N,519,Y,N,CEL,8,4,98,1,-1,0,UNK,0
180,41,MGNT,MAR,TER,N,176,Y,Y,UNK,5,5,42,1,-1,0,UNK,0
181,30,MGNT,MAR,SEC,N,3817,Y,N,CEL,20,11,104,5,-1,0,UNK,0
182,44,SELF,MAR,SEC,N,-264,Y,N,CEL,29,1,227,1,-1,0,UNK,0
183,47,TECH,MAR,SEC,N,0,N,N,CEL,21,11,591,1,10,1,FAIL,1
184,37,ADMIN,SIN,SEC,N,-296,Y,N,CEL,20,4,81,1,-1,0,UNK,0
185,58,BLUE,MAR,PRIM,N,128,Y,N,TEL,30,7,49,5,-1,0,UNK,0
186,26,TECH,SIN,TER,N,77,Y,N,UNK,29,5,125,2,-1,0,UNK,0
187,41,HOUSE,MAR,PRIM,N,39,N,N,CEL,21,8,299,4,-1,0,UNK,0
188,43,BLUE,MAR,SEC,N,960,Y,N,UNK,15,5,436,1,-1,0,UNK,0
189,37,BLUE,MAR,SEC,N,489,Y,N,UNK,2,6,24,1,-1,0,UNK,0
190,44,BLUE,DIV,PRIM,N,25,Y,N,CEL,13,5,201,1,344,7,FAIL,0
191,37,SERV,DIV,SEC,N,726,Y,N,CEL,5,5,136,2,362,2,OTH,0
192,35,UNEMP,MAR,SEC,N,977,Y,N,CEL,4,5,52,4,91,1,OTH,0
193,32,SERV,DIV,SEC,N,5267,Y,N,UNK,6,6,178,2,-1,0,UNK,0
194,32,MGNT,SIN,TER,N,41,N,N,CEL,21,8,686,5,-1,0,UNK,1
195,28,TECH,SIN,SEC,N,100,Y,N,CEL,13,5,70,5,-1,0,UNK,0
196,47,BLUE,MAR,PRIM,N,881,Y,N,CEL,14,5,143,1,370,2,FAIL,0
197,31,TECH,SIN,SEC,N,102,Y,N,TEL,17,4,460,2,345,2,FAIL,0
198,40,TECH,MAR,SEC,N,0,Y,N,CEL,17,11,74,2,196,1,FAIL,0
199,35,TECH,DIV,SEC,N,2823,Y,N,CEL,26,2,74,1,24,1,FAIL,0
200,30,MGNT,SIN,TER,N,2900,N,N,CEL,8,8,147,2,-1,0,UNK,0
201,57,SERV,MAR,SEC,N,2658,Y,N,CEL,21,11,107,1,190,1,FAIL,0
202,40,MGNT,MAR,TER,N,1734,Y,N,UNK,2,6,169,1,-1,0,UNK,0
203,33,MGNT,SIN,TER,N,3821,N,N,CEL,21,11,201,5,-1,0,UNK,0
204,30,ADMIN,MAR,SEC,N,182,Y,Y,CEL,5,5,143,1,364,1,FAIL,0
205,49,TECH,MAR,SEC,N,775,Y,N,UNK,16,6,135,1,-1,0,UNK,0
206,47,ADMIN,MAR,SEC,N,1210,N,N,CEL,27,7,493,4,-1,0,UNK,0
207,58,retired,DIV,PRIM,N,720,N,N,TEL,22,5,250,1,94,4,SUC,0
208,35,ADMIN,MAR,SEC,N,788,Y,N,UNK,26,5,223,1,-1,0,UNK,0
209,55,BLUE,MAR,UNK,N,23,N,N,CEL,30,1,143,1,2,3,OTH,0
210,42,TECH,SIN,SEC,N,77,N,Y,CEL,7,8,152,2,-1,0,UNK,0
211,37,MGNT,SIN,TER,N,767,N,N,CEL,22,8,160,2,-1,0,UNK,0
212,39,SELF,MAR,PRIM,N,1551,N,N,TEL,8,7,389,7,-1,0,UNK,0
213,40,ADMIN,MAR,SEC,N,2574,Y,N,CEL,20,11,517,1,-1,0,UNK,0
214,51,ENTREP,MAR,TER,N,6659,Y,Y,CEL,20,11,191,2,189,1,FAIL,0
215,60,SELF,MAR,SEC,N,18,Y,Y,CEL,12,5,399,4,343,1,OTH,0
216,54,ADMIN,MAR,SEC,N,0,N,N,CEL,28,1,161,1,98,2,FAIL,1
217,35,ADMIN,MAR,SEC,N,-130,Y,N,UNK,20,5,224,1,-1,0,UNK,0
218,37,TECH,SIN,UNK,N,391,Y,N,UNK,8,5,103,3,-1,0,UNK,0
219,55,TECH,MAR,TER,N,255,N,N,CEL,22,7,114,1,-1,0,UNK,0
220,33,UNEMP,SIN,TER,N,4874,N,N,TEL,22,2,363,2,-1,0,UNK,0
221,58,MGNT,MAR,TER,N,591,Y,N,CEL,30,7,233,3,-1,0,UNK,0
222,48,BLUE,MAR,SEC,N,480,Y,N,CEL,15,5,830,1,352,2,FAIL,1
223,39,ADMIN,SIN,SEC,N,2263,Y,Y,TEL,21,11,1158,9,-1,0,UNK,1
224,56,UNEMP,MAR,SEC,N,0,N,N,TEL,2,2,492,1,-1,0,UNK,1
225,57,retired,MAR,PRIM,N,0,N,Y,CEL,29,7,112,3,-1,0,UNK,0
226,55,retired,MAR,SEC,N,0,N,Y,UNK,5,5,136,1,-1,0,UNK,0
227,37,BLUE,MAR,SEC,N,-83,Y,N,CEL,18,5,179,4,-1,0,UNK,0
228,42,MGNT,MAR,UNK,N,1519,N,N,CEL,19,7,268,1,-1,0,UNK,1
229,26,STUD,SIN,SEC,N,8015,N,N,CEL,26,5,109,1,-1,0,UNK,0
230,36,BLUE,MAR,SEC,N,-128,N,Y,TEL,14,7,821,3,-1,0,UNK,0
231,47,SELF,MAR,SEC,Y,2,N,N,CEL,5,2,236,2,-1,0,UNK,0
232,37,SELF,MAR,SEC,N,1633,N,N,CEL,7,7,629,2,-1,0,UNK,1
233,59,retired,MAR,UNK,Y,-114,N,Y,CEL,9,7,611,2,-1,0,UNK,0
234,39,SERV,DIV,SEC,N,1957,Y,Y,CEL,20,11,47,1,-1,0,UNK,0
235,49,ENTREP,MAR,PRIM,N,10772,N,N,CEL,8,8,89,2,-1,0,UNK,0
236,54,HOUSE,MAR,PRIM,N,194,N,N,CEL,20,8,127,2,-1,0,UNK,0
237,41,TECH,MAR,SEC,N,-378,Y,N,CEL,5,2,361,1,253,2,FAIL,0
238,34,BLUE,SIN,SEC,N,1156,Y,N,UNK,23,5,234,2,-1,0,UNK,0
239,28,BLUE,DIV,UNK,N,101,Y,N,UNK,28,5,126,4,-1,0,UNK,0
240,26,BLUE,SIN,SEC,N,-132,N,N,UNK,8,5,12,1,-1,0,UNK,0
241,32,BLUE,MAR,SEC,N,824,Y,N,CEL,3,4,272,1,-1,0,UNK,0
242,53,TECH,MAR,TER,N,4323,Y,N,UNK,15,5,58,5,-1,0,UNK,0
243,30,MGNT,SIN,TER,N,409,N,N,CEL,3,2,31,6,-1,0,UNK,0
244,33,MGNT,MAR,TER,N,3915,N,N,CEL,7,8,65,4,-1,0,UNK,0
245,70,retired,MAR,SEC,N,2815,N,N,CEL,26,4,125,2,182,1,FAIL,0
246,33,ADMIN,MAR,SEC,N,252,Y,N,CEL,22,7,270,2,-1,0,UNK,0
247,58,BLUE,MAR,PRIM,N,73,N,N,UNK,17,6,116,1,-1,0,UNK,0
248,31,MGNT,SIN,TER,N,-446,N,N,CEL,19,8,156,4,-1,0,UNK,0
249,45,MGNT,DIV,TER,N,335,N,N,CEL,5,8,297,1,-1,0,UNK,0
250,34,SELF,MAR,SEC,N,179,Y,Y,CEL,24,7,137,4,-1,0,UNK,0
251,32,TECH,MAR,SEC,N,91,Y,N,CEL,12,5,209,1,-1,0,UNK,0
252,33,SELF,MAR,TER,N,263,N,N,CEL,4,5,119,2,-1,0,UNK,0
253,40,UNEMP,SIN,SEC,N,350,Y,N,UNK,7,5,287,1,-1,0,UNK,0
254,33,BLUE,MAR,SEC,N,249,Y,N,CEL,14,5,7,7,287,4,FAIL,0
255,56,ADMIN,DIV,PRIM,N,0,N,Y,CEL,10,7,542,1,-1,0,UNK,0
256,45,ENTREP,MAR,PRIM,N,2418,Y,N,UNK,14,5,120,1,-1,0,UNK,0
257,44,BLUE,MAR,SEC,N,78,Y,N,UNK,12,5,253,2,-1,0,UNK,0
258,32,SERV,MAR,SEC,N,2796,Y,N,UNK,3,6,143,8,-1,0,UNK,0
259,36,BLUE,SIN,PRIM,N,2176,Y,N,UNK,28,5,52,2,-1,0,UNK,0
260,52,ADMIN,MAR,SEC,N,941,N,N,CEL,4,2,89,2,-1,0,UNK,0
261,41,BLUE,MAR,PRIM,N,509,Y,N,UNK,30,6,146,3,-1,0,UNK,0
262,46,UNK,MAR,UNK,N,300,Y,N,UNK,16,5,323,3,-1,0,UNK,0
263,57,MGNT,MAR,SEC,N,82,N,Y,TEL,4,2,140,1,-1,0,UNK,0
264,41,SERV,MAR,SEC,N,2085,Y,N,UNK,26,5,125,4,-1,0,UNK,0
265,33,MGNT,SIN,TER,N,318,Y,N,CEL,8,4,1190,1,141,3,OTH,1
266,49,MGNT,MAR,TER,N,852,Y,N,CEL,20,11,408,1,-1,0,UNK,0
267,47,TECH,MAR,SEC,N,0,Y,N,CEL,30,4,81,1,164,1,FAIL,0
268,40,ADMIN,SIN,SEC,N,664,N,N,CEL,21,7,1342,2,-1,0,UNK,1
269,30,MGNT,SIN,TER,N,30,N,N,CEL,21,8,220,5,-1,0,UNK,0
270,55,MGNT,DIV,TER,N,2625,Y,N,CEL,5,5,286,1,252,3,FAIL,0
271,43,BLUE,MAR,SEC,N,-128,Y,N,CEL,21,11,32,1,-1,0,UNK,0
272,45,TECH,DIV,SEC,N,12,N,N,CEL,28,8,88,3,-1,0,UNK,0
273,59,retired,MAR,PRIM,N,866,N,Y,CEL,2,2,88,1,208,1,OTH,0
274,60,BLUE,MAR,PRIM,N,5,N,N,CEL,29,1,533,1,92,1,SUC,1
275,53,UNEMP,DIV,TER,N,0,Y,Y,CEL,8,8,140,2,-1,0,UNK,0
276,23,STUD,SIN,SEC,N,780,N,N,CEL,16,9,267,1,-1,0,UNK,0
277,39,ADMIN,MAR,SEC,N,-288,N,N,UNK,23,5,151,9,-1,0,UNK,0
278,40,ADMIN,SIN,SEC,N,419,N,Y,CEL,28,7,100,16,-1,0,UNK,0
279,37,BLUE,MAR,SEC,N,2870,Y,N,UNK,6,6,94,2,-1,0,UNK,0
280,28,MGNT,SIN,TER,N,0,Y,N,UNK,30,5,224,4,-1,0,UNK,0
281,55,retired,MAR,PRIM,N,16432,N,N,CEL,14,8,482,2,-1,0,UNK,0
282,40,MGNT,DIV,TER,N,858,N,N,CEL,26,10,202,2,-1,0,UNK,1
283,56,MGNT,MAR,TER,N,3172,Y,N,CEL,5,2,139,1,-1,0,UNK,0
